ID,prediction,model_version
3000833b-9741-4465-92c0-eb177e779d39,texting,d347fb6459524bb8b28cf4254ae52850
993cc757-9089-4c46-9c58-d4629a3feff6,eating,d347fb6459524bb8b28cf4254ae52850
0f8dcc27-9b24-495d-ba63-ea5961be1d53,running,d347fb6459524bb8b28cf4254ae52850
9cd47a18-f64e-48cc-8639-e1d67becad63,eating,d347fb6459524bb8b28cf4254ae52850
c937f66e-c79c-4510-a403-c0c1515179be,sitting,d347fb6459524bb8b28cf4254ae52850
8e89130c-644d-42c3-8149-878a5e3dced1,clapping,d347fb6459524bb8b28cf4254ae52850
3af5a48b-8656-496d-b605-dcdc52c097c0,running,d347fb6459524bb8b28cf4254ae52850
eb94efea-0aef-47fd-b762-11e339465cb7,hugging,d347fb6459524bb8b28cf4254ae52850
1e6b38c6-b1b7-48f6-b27b-922e18895e06,laughing,d347fb6459524bb8b28cf4254ae52850
a7b7dc8f-e9e6-4f30-8c48-4dda5e474963,drinking,d347fb6459524bb8b28cf4254ae52850
99a8844a-cb84-4300-942a-bc874c7fd469,listening_to_music,d347fb6459524bb8b28cf4254ae52850
f2068f67-0dd2-44ea-b39a-db371a9d97c6,laughing,d347fb6459524bb8b28cf4254ae52850
a8ccff84-ff73-4e0d-9bf5-4d88ca0736f2,clapping,d347fb6459524bb8b28cf4254ae52850
ac672a32-6716-4d48-9652-be5b89afc8bd,eating,d347fb6459524bb8b28cf4254ae52850
47ae8932-ba98-41b2-a289-1a96edb98baf,using laptop,d347fb6459524bb8b28cf4254ae52850
acd02710-692c-457f-975e-99e24778d057,drinking,d347fb6459524bb8b28cf4254ae52850
6785f785-bcc8-46ae-a01c-66091d4fc610,texting,d347fb6459524bb8b28cf4254ae52850
6f0cef14-9239-4863-97d8-fd381a6a0d42,using laptop,d347fb6459524bb8b28cf4254ae52850
1a869cbd-e439-42fc-bcc3-df4032ec7412,hugging,d347fb6459524bb8b28cf4254ae52850
6a3f35d7-a9c3-401f-a4fe-10dc4b810888,clapping,d347fb6459524bb8b28cf4254ae52850
df38fbea-3dad-4f72-b5cc-4891e5e00085,drinking,d347fb6459524bb8b28cf4254ae52850
2a0f326b-d028-4c7d-9c6f-5dc132dbc9ec,dancing,d347fb6459524bb8b28cf4254ae52850
e8119489-96bb-4114-bf0f-ad834b42b189,listening_to_music,d347fb6459524bb8b28cf4254ae52850
68e321a5-9fd5-4e82-bd08-915c217ce749,running,d347fb6459524bb8b28cf4254ae52850
b188ee0f-8982-4b22-bbf0-c4d3052bc184,fighting,d347fb6459524bb8b28cf4254ae52850
0074a5e4-4c9f-489c-a6be-6b703eef31a7,eating,d347fb6459524bb8b28cf4254ae52850
ac150725-51aa-498f-92a9-c11a3b70dfcd,laughing,d347fb6459524bb8b28cf4254ae52850
316b4854-4540-4a80-9580-a6396aa82861,dancing,d347fb6459524bb8b28cf4254ae52850
9a806fe2-d051-4635-bf0d-a24e37d106ae,sleeping,d347fb6459524bb8b28cf4254ae52850
0fbadefa-db7d-48da-a57b-e06c113fcc50,laughing,d347fb6459524bb8b28cf4254ae52850
dfbb2964-1667-42d3-8e0c-3e7c6ef88d94,texting,d347fb6459524bb8b28cf4254ae52850
7aa61545-c15b-4568-bb09-4b2378bbe0ab,eating,d347fb6459524bb8b28cf4254ae52850
5a24f8c6-dcab-41bf-b223-b4798245649f,laughing,d347fb6459524bb8b28cf4254ae52850
d39d625a-3a54-4f01-80c6-311f35eacdfc,eating,d347fb6459524bb8b28cf4254ae52850
9f880aa3-e7bd-4885-bc63-35ecd5ddc0ad,texting,d347fb6459524bb8b28cf4254ae52850
b09abcfe-f308-42aa-a570-8f493f105b65,fighting,d347fb6459524bb8b28cf4254ae52850
cb8abc50-6ebd-4da5-ab6f-d5d41d872ab7,cycling,d347fb6459524bb8b28cf4254ae52850
b415853f-1b8e-4222-9170-a7c23cae0f93,fighting,d347fb6459524bb8b28cf4254ae52850
624b1c26-4e74-43c9-a147-11adf00c221e,hugging,d347fb6459524bb8b28cf4254ae52850
ab9f5930-3ed7-4780-b115-76f055fae25a,fighting,d347fb6459524bb8b28cf4254ae52850
6bc0eaec-45e4-4f4c-b2cc-ced0ba21d001,eating,d347fb6459524bb8b28cf4254ae52850
a0bf312b-e147-4bcc-9a82-ed9cbda3be36,hugging,d347fb6459524bb8b28cf4254ae52850
a528e5be-0266-476e-9a80-d8be3eb60ecc,eating,d347fb6459524bb8b28cf4254ae52850
616660af-6af6-4b12-8aaf-67559391389b,eating,d347fb6459524bb8b28cf4254ae52850
b69df529-99fa-4061-9e1d-d921363e6b09,eating,d347fb6459524bb8b28cf4254ae52850
8a6fb4e0-69d4-4ff1-bbe2-c25a50620704,eating,d347fb6459524bb8b28cf4254ae52850
f21d81a3-f3f3-49d6-a44e-f8a9c32daa30,using laptop,d347fb6459524bb8b28cf4254ae52850
